docker_images,rewards,exp_names,num_steps,patch_sizes,exit_reasons,p2p_rates,avg_yes_prob,gt_correct,regression_pass_count
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11299,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3592,abs_step_limit,103,0.8519528057272544,True,103
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19346,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,71,3668,token_limit,40,0.7772998663336157,False,39
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-14711,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,41,767,max_step_limit,2,0.893309401793762,True,3
slimshetty/swebench-verified:sweb.eval.x86_64.astropy__astropy-12907,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,1259,token_limit,13,0.1192029204575912,False,11
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13821,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,98,2830,token_limit,0,0.7310585844894971,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16116,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,72,4075,token_limit,137,0.7549149758396752,True,138
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-16597,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,46,1300,agent_max_step_limit,74,0.7981867777396212,False,75
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19040,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,68,0,token_limit,148,5.829129315979273e-05,False,148
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11603,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3019,abs_step_limit,58,0.8354835371034368,True,59
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14349,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,647,token_limit,18,0.8354835391516133,True,19
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-13551,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,45,1869,token_limit,0,0.010986940404201,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16662,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,31,6786,token_limit,51,0.7981867825403177,True,52
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13128,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,54,2485,agent_max_step_limit,126,0.679178699175393,False,133
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-11618,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,37,853,agent,4,0.867035758084294,True,4
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-12481,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,55,2088,token_limit,7,0.8175744739711883,True,7
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-15976,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,2668,agent,37,0.7310585727705127,True,37
slimshetty/swebench-verified:sweb.eval.x86_64.psf__requests-1724,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,38,948,agent,79,0.8807970701552505,True,86
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-8548,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,41,906,token_limit,5,0.0002305067127507,False,4
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16901,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,69,3752,token_limit,0,0.0179862059812701,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-7454,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,65,838,agent_max_step_limit,27,0.0019267345025893,False,28
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-10908,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,14,902,agent,47,0.8519528076067262,False,48
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14155,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,71,3759,token_limit,89,0.8519528094861981,False,91
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-4094,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,40,1294,agent,862,0.8354835391516133,True,867
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-14976,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,93,0,token_limit,13,2.753568122134716e-05,False,13
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15382,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,4615,abs_step_limit,160,0.0293122331362613,False,160
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-26194,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,39,600,token_limit,186,0.0850990537082405,False,186
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11815,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,24,2812,agent,44,0.8670357460591569,True,44
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12965,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,61,1601,token_limit,49,0.5621765008857981,False,49
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-9296,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,60,2937,agent_max_step_limit,20,0.7549149923816048,True,19
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14034,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,1751,agent,12,0.8354835432479661,False,12
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-10973,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,29,3380,agent,0,0.7310585786300049,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12419,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2460,abs_step_limit,0,0.7549149978955811,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14373,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,2726,agent,19,0.7981867705385762,True,20
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14539,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,3328,agent,14,0.4687906266262437,True,16
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13670,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,96,3957,token_limit,17,0.8933094039240554,True,17
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-13989,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,21,1109,agent,411,0.6224593382055109,True,411
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13820,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2990,abs_step_limit,24,0.7057850154599563,True,25
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-20438,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,868,abs_step_limit,0,0.0031726823984636,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14672,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3253,abs_step_limit,0,0.8175744739711883,True,166
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-13124,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,1458,token_limit,59,0.0293122315993225,False,60
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14011,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2808,abs_step_limit,2,0.7981867681382279,False,19
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-13496,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,45,3248,agent_max_step_limit,19,0.7310585786300049,True,19
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15098,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,96,2919,token_limit,87,0.6224593312018546,False,88
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-13439,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,31,1331,agent,40,0.8670357580842941,True,41
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-9711,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,1062,abs_step_limit,0,0.8670357529306639,True,1687
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14140,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,40,4103,agent,199,0.7772998611746912,False,200
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14351,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,32,0,token_limit,58,0.0001233945738748,False,58
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15277,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,70,2018,agent_max_step_limit,158,0.817574478416099,True,159
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13344,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,1909,agent,356,0.7310585903489891,False,356
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16256,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,55,0,token_limit,53,9.610243752612512e-05,False,53
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11292,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,82,1154,token_limit,31,0.2018132198600306,False,31
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14752,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,902,abs_step_limit,0,0.0007096705173647,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15128,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2996,abs_step_limit,281,0.3486451285660855,False,281
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15467,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2240,abs_step_limit,62,0.7772998714925403,True,62
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-14983,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,44,3173,agent_max_step_limit,104,0.4073334000459302,False,104
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-25102,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,32,5129,agent,59,0.867035752930664,True,59
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-10051,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,3329,agent_max_step_limit,15,0.4378234991142019,True,15
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-16450,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,51,1372,token_limit,38,0.7057850340255386,True,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11740,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,58,0,token_limit,109,5.1442213585014685e-05,False,109
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13933,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,60,4101,token_limit,0,0.0059110682761513,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16333,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,3627,token_limit,87,0.8175744739711883,True,87
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-26342,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,45,1738,agent_max_step_limit,81,0.7772998560157665,True,81
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12663,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,64,3909,agent_max_step_limit,135,0.8175744806385542,False,135
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-9281,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,53,2476,token_limit,0,0.1645164690410926,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-11578,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,43,2938,agent_max_step_limit,93,0.7772998508568416,True,90
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15499,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2011,abs_step_limit,35,0.8519528057272544,True,35
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-22914,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,1641,token_limit,17,0.8175744828610095,True,18
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12273,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,29,1879,agent,27,0.5,False,27
slimshetty/swebench-verified:sweb.eval.x86_64.astropy__astropy-13236,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,91,3725,token_limit,644,0.7772998714925403,False,643
slimshetty/swebench-verified:sweb.eval.x86_64.pylint-dev__pylint-6903,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,94,3065,token_limit,8,0.4687906266262437,True,8
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-8056,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,0,abs_step_limit,40,2.4300252306390083e-05,False,39
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15104,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,33,2927,agent,131,0.7310585727705127,True,131
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-4075,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,48,1345,agent_max_step_limit,958,0.851952809486198,True,958
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-10844,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,18,633,agent,16,0.8807970811069351,True,17
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15987,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,745,abs_step_limit,52,0.8354835411997897,False,53
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-20916,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,735,abs_step_limit,1,0.0013250223498939,False,2
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16877,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,73,2716,token_limit,0,0.0179862095343999,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7236,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,1664,agent_max_step_limit,50,0.4073334000459302,False,49
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-26291,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,24,2650,agent,49,0.8933093975331751,False,49
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14771,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,87,2801,token_limit,60,0.000108896869695,False,60
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-23314,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,69,1005,token_limit,862,0.8807970654616711,True,862
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-25960,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,70,2849,token_limit,131,0.8354835391516133,False,131
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13158,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,0,abs_step_limit,29,0.0001584362720964,False,29
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-18698,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,71,635,token_limit,147,0.0085774847722012,False,147
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-26113,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,631,agent,812,0.8933094145755219,True,812
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12713,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,44,8188,agent_max_step_limit,58,0.8670357512127872,True,58
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-6938,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,15,883,agent,430,0.8354835432479661,False,430
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19637,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,58,1586,token_limit,40,0.0675466855084087,True,41
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12304,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,97,1389,token_limit,0,0.001325022461425,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-21568,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,28,1638,agent,69,0.5,False,69
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-25973,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,23,906,agent,72,0.8519528019683105,True,72
slimshetty/swebench-verified:sweb.eval.x86_64.pylint-dev__pylint-4604,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,87,1577,token_limit,0,0.0124316481204732,False,20
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11880,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2388,abs_step_limit,114,0.8807970889295664,True,114
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16950,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,72,2425,token_limit,3,0.7310585669110203,False,3
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12143,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,64,2687,token_limit,52,0.7772998611746911,True,52
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7490,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,60,1328,token_limit,78,0.8807970670261976,True,78
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16502,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,921,abs_step_limit,0,0.0001233945743649,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-15345,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,0,abs_step_limit,8,1.892515274614874e-05,False,9
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-11510,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,33,2878,agent,7,0.7549149923816048,False,7
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-14623,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,41,797,max_step_limit,400,0.4378234991142019,True,401
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15563,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,50,0,token_limit,29,4.006369214729855e-05,False,29
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14493,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2391,abs_step_limit,36,0.8807970811069351,True,36
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-14894,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,18,2246,agent,85,0.7981867801399694,True,85
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-7233,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,53,1889,agent_max_step_limit,189,0.5312093733737563,False,189
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-8721,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,89,2203,token_limit,3,0.5,True,2
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7432,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,2656,abs_step_limit,0,0.0004305570768154,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-20801,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,24,0,token_limit,96,0.0001088969088524,False,96
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14404,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,79,3036,token_limit,0,0.0007096705044031,False,0
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-10449,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,80,0,token_limit,30,6.605216020953037e-05,False,31
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-20428,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,45,3066,agent_max_step_limit,154,0.8670357649558007,False,154
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-23950,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,90,0,token_limit,4,3.5356242266024216e-05,False,5
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-21930,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,53,861,token_limit,45,0.7057850278370112,False,48
slimshetty/swebench-verified:sweb.eval.x86_64.psf__requests-2317,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,2353,agent_max_step_limit,133,0.7549149978955811,True,0
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-2905,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,37,602,token_limit,364,0.8807970826714614,True,365
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-13798,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,29,1435,agent,102,0.6791786861878392,False,104
